Oscilloscope Data File
Experiment Time :   13-12-2016 08:53:42
Number of frames: 46666

Module: E-14-140M (1D905555)

Number Of Channels : 8
Input Rate In kHz: 22.222221
Input Time In Sec: 2.099970
Decimation: 100
Number of frames after Decimation: 466
Data Format: Calibr
Time markers scale: ñåêóíäû
GPS time=00:00:00 00-00-0000
GPS latitude=, latitude h=0
GPS longitude=, longitude h=0
Segments: 1
Data as Time Sequence:
                    Ch  1      Ch  5      Ch  6      Ch  7      Ch  8  
                 ÑÂÄ,       ÐÊ 1,      ÐÊ 2,      ÐÊ 3,      ÐÊ 4,     
        1.368 ,       280,       113,       110,        99,        82
        1.373 ,       280,       113,       110,       100,        82
        1.377 ,       280,       113,       110,       100,        82
        1.382 ,       281,       113,       110,        99,        83
        1.386 ,       281,       113,       110,       100,        82
        1.391 ,       281,       113,       110,       100,        82
        1.395 ,       281,       113,       110,       100,        83
        1.400 ,       281,       113,       110,        99,        83
        1.404 ,       281,       113,       110,       100,        82
        1.409 ,       280,       113,       110,        99,        83
        1.413 ,       280,       113,       109,       100,        82
        1.418 ,       280,       113,       110,        99,        82
        1.422 ,       279,       113,       110,        99,        82
        1.427 ,       279,       113,       110,        99,        82
        1.431 ,       280,       113,       110,       100,        82
        1.436 ,       279,       113,       110,        99,        82
        1.440 ,       281,       113,       110,        99,        82
        1.445 ,       281,       113,       110,        99,        82
        1.449 ,       281,       113,       110,       100,        83
        1.454 ,       281,       113,       110,        99,        82
        1.458 ,       280,       113,       110,       100,        82
        1.463 ,       280,       113,       109,        99,        83
        1.467 ,       280,       113,       110,       100,        83
        1.472 ,       281,       113,       110,        99,        82
        1.476 ,       281,       113,       110,        99,        82
        1.481 ,       280,       113,       110,        99,        82
        1.485 ,       280,       113,       110,       100,        82
        1.490 ,       280,       113,       110,        99,        82
        1.494 ,       280,       113,       109,        99,        82
        1.499 ,       282,       113,       110,        99,        82
        1.503 ,       282,       113,       110,       100,        82
        1.508 ,       280,       113,       110,        99,        82
        1.512 ,       280,       113,       110,       100,        82
        1.517 ,       280,       113,       110,        99,        82
        1.521 ,       281,       113,       110,       100,        82
        1.526 ,       281,       112,       110,        99,        82
        1.530 ,       281,       112,       110,       100,        82
        1.535 ,       281,       113,       110,        99,        82
